subset,task_id,task_description,step,horizon,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,mean_successful_actions,mean_successful_calls,mean_successful_seconds
heldout_400,0,put both the alphabet soup and the tomato sauce in the basket,1500,5,5,50,40,37,0.925,0.8013576647568946,0.9741639742254119,62.825,312.025,322.025,0.20134604598990466,4.964551633271346,16.499994605834946,295.1621621621622,59.486486486486484,15.654969069014959
heldout_400,1,put both the cream cheese box and the butter in the basket,1500,5,5,50,40,40,1.0,0.9123783988027135,1.0,52.6,261.3,271.3,0.20130118637581323,4.968059817947028,14.19066031097027,261.3,52.6,14.19066031097027
heldout_400,2,turn on the stove and put the moka pot on it,1500,5,5,50,40,37,0.925,0.8013576647568946,0.9741639742254119,58.125,288.375,298.375,0.20156046814044212,4.958232218598717,14.752554996829712,269.5945945945946,54.4054054054054,13.811802013283218
heldout_400,3,put the black bowl in the bottom drawer of the cabinet and close it,1500,5,5,50,40,40,1.0,0.9123783988027135,1.0,47.2,233.975,243.975,0.20173095416176942,4.9573816475819505,12.558616688897018,233.975,47.2,12.558616688897018
heldout_400,4,put the white mug on the left plate and put the yellow and white mug on the right plate,1500,5,5,50,40,38,0.95,0.8349612263085903,0.9861793326138516,53.075,263.425,273.425,0.20148049729524534,4.960848290489316,14.265043555287411,249.92105263157896,50.39473684210526,13.59986973914477
heldout_400,5,pick up the book and place it in the back compartment of the caddy,1500,5,5,50,40,36,0.9,0.7694822477247771,0.9604204713173936,46.2,229.225,239.225,0.20154869669538664,4.954619855743893,11.70383728108136,196.91666666666666,39.77777777777778,10.246131845403902
heldout_400,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,1500,5,5,50,40,30,0.75,0.5980603857923197,0.858128813609037,64.625,321.55,331.55,0.2009796299175867,4.969653875088193,16.428978611846105,255.4,51.5,13.16884972328165
heldout_400,7,put both the alphabet soup and the cream cheese box in the basket,1500,5,5,50,40,38,0.95,0.8349612263085903,0.9861793326138516,59.45,295.525,305.525,0.20116741392437187,4.969552548994409,14.896152038569562,283.7105263157895,57.10526315789474,14.358155007706955
heldout_400,8,put both moka pots on the stove,1500,5,5,50,40,12,0.3,0.18074845229746528,0.45430018818144935,100.925,504.1,514.1,0.20020829200555446,4.994221874488222,17.599479831958888,467.0,93.75,17.120976000704104
heldout_400,9,put the yellow and white mug in the microwave and close it,1500,5,5,50,40,37,0.925,0.8013576647568946,0.9741639742254119,61.3,304.55,314.55,0.20128057790182236,4.964836140736487,11.541681784883258,287.0810810810811,57.83783783783784,11.093106445233413
all_500,0,put both the alphabet soup and the tomato sauce in the basket,0,5,5,50,50,49,0.98,0.8950455641036219,0.9964607407283539,64.2,318.92,328.92,0.2013044023579581,4.967417019265453,16.673003473535644,314.81632653061223,63.38775510204081,16.577237317526276
all_500,1,put both the cream cheese box and the butter in the basket,0,5,5,50,50,50,1.0,0.9286524008666414,1.0,57.04,283.44,293.44,0.20124188540784646,4.969113369824065,15.276401035247837,283.44,57.04,15.276401035247837
all_500,2,turn on the stove and put the moka pot on it,0,5,5,50,50,46,0.92,0.8116175308165717,0.968450485911407,57.54,285.86,295.86,0.20128734345483804,4.96579656414891,14.847604866442271,265.5,53.5,13.836271268768622
all_500,3,put the black bowl in the bottom drawer of the cabinet and close it,0,5,5,50,50,48,0.96,0.8653990931249297,0.9889611156723802,51.9,257.36,267.36,0.20166304009947156,4.956195345288483,13.905355802481063,246.41666666666666,49.729166666666664,13.398156692792933
all_500,4,put the white mug on the left plate and put the yellow and white mug on the right plate,0,5,5,50,50,49,0.98,0.8950455641036219,0.9964607407283539,52.66,261.36,271.36,0.2014845423936333,4.96248003177738,14.12929668669356,256.0816326530612,51.61224489795919,13.900637465443614
all_500,5,pick up the book and place it in the back compartment of the caddy,0,5,5,50,50,48,0.96,0.8653990931249297,0.9889611156723802,46.86,232.34,242.34,0.20168718257725746,4.95117949378652,11.794637565601152,220.35416666666666,44.479166666666664,11.28784316352782
all_500,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,0,5,5,50,50,39,0.78,0.6475845041874634,0.8724608402978559,63.9,318.08,328.08,0.20089285714285715,4.9726724435842495,15.898717004344798,261.12820512820514,52.58974358974359,13.367460294641578
all_500,7,put both the alphabet soup and the cream cheese box in the basket,0,5,5,50,50,49,0.98,0.8950455641036219,0.9964607407283539,56.6,281.12,291.12,0.20133750711439954,4.966074933244394,14.035768698537723,276.2448979591837,55.63265306122449,13.79306177187673
all_500,8,put both moka pots on the stove,0,5,5,50,50,20,0.4,0.27608389730256544,0.5381856225241064,98.14,489.78,499.78,0.20037567887623015,4.9895858871276095,16.347978510239628,444.45,89.35,15.011983317648992
all_500,9,put the yellow and white mug in the microwave and close it,0,5,5,50,50,46,0.92,0.8116175308165717,0.968450485911407,61.36,304.96,314.96,0.20120671563483736,4.967467600235702,10.93854088410735,286.2608695652174,57.65217391304348,10.207813359731201
all_500,0,put both the alphabet soup and the tomato sauce in the basket,1500,5,5,50,50,46,0.92,0.8116175308165717,0.968450485911407,62.68,311.34,321.34,0.2013233121346438,4.965067554707161,16.476085160090587,293.19565217391306,59.08695652173913,15.625149618037065
all_500,1,put both the cream cheese box and the butter in the basket,1500,5,5,50,50,50,1.0,0.9286524008666414,1.0,52.5,260.88,270.88,0.20124195032198713,4.96941683052803,14.213653305994812,260.88,52.5,14.213653305994812
all_500,2,turn on the stove and put the moka pot on it,1500,5,5,50,50,44,0.88,0.7619518261679701,0.9438239984906773,59.78,296.8,306.8,0.20141509433962265,4.960498612466838,15.11840121482499,266.3636363636364,53.75,13.639621598238591
all_500,3,put the black bowl in the bottom drawer of the cabinet and close it,1500,5,5,50,50,50,1.0,0.9286524008666414,1.0,47.24,234.14,244.14,0.201759630990006,4.956630392901276,12.566224400300998,234.14,47.24,12.566224400300998
all_500,4,put the white mug on the left plate and put the yellow and white mug on the right plate,1500,5,5,50,50,48,0.96,0.8653990931249297,0.9889611156723802,52.36,260.04,270.04,0.20135363790186125,4.964592145696867,14.169250275474042,249.20833333333334,50.208333333333336,13.638662951035561
all_500,5,pick up the book and place it in the back compartment of the caddy,1500,5,5,50,50,44,0.88,0.7619518261679701,0.9438239984906773,48.44,240.46,250.46,0.2014472261498794,4.9566885321163845,12.225922223124654,202.3409090909091,40.86363636363637,10.568571919874309
all_500,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,1500,5,5,50,50,38,0.76,0.6258731624205708,0.8570260860300828,63.82,317.62,327.62,0.200931931238587,4.971182846251425,16.2177129785344,253.71052631578948,51.13157894736842,13.086728806745285
all_500,7,put both the alphabet soup and the cream cheese box in the basket,1500,5,5,50,50,48,0.96,0.8653990931249297,0.9889611156723802,57.94,287.86,297.86,0.20127839922184396,4.966726668342128,14.633225420094096,278.1875,56.020833333333336,14.19635582822472
all_500,8,put both moka pots on the stove,1500,5,5,50,50,15,0.3,0.19103553500880954,0.437503504644534,100.82,503.62,513.62,0.20019061991183829,4.994724227436333,17.44975503288908,465.4,93.4,16.79082812809696
all_500,9,put the yellow and white mug in the microwave and close it,1500,5,5,50,50,46,0.92,0.8116175308165717,0.968450485911407,61.16,303.84,313.84,0.20129015271195366,4.964844967180233,11.38618016864406,285.04347826086956,57.43478260869565,10.899564275773667
training_layouts_100,0,put both the alphabet soup and the tomato sauce in the basket,0,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,65.4,324.8,334.8,0.20135467980295566,4.964206917316692,17.100167674489786,303.1111111111111,61.111111111111114,16.626236847433674
training_layouts_100,1,put both the cream cheese box and the butter in the basket,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,54.2,269.6,279.6,0.2010385756676558,4.974047010861808,14.790930158807896,269.6,54.2,14.790930158807896
training_layouts_100,2,turn on the stove and put the moka pot on it,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,52.4,259.5,269.5,0.20192678227360308,4.951940364667154,13.697111210599541,259.5,52.4,13.697111210599541
training_layouts_100,3,put the black bowl in the bottom drawer of the cabinet and close it,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,50.3,248.9,258.9,0.20208919244676576,4.9481439919202685,13.527455485716928,248.9,50.3,13.527455485716928
training_layouts_100,4,put the white mug on the left plate and put the yellow and white mug on the right plate,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,52.2,258.4,268.4,0.2020123839009288,4.950360038032308,13.773414108203724,258.4,52.2,13.773414108203724
training_layouts_100,5,pick up the book and place it in the back compartment of the caddy,0,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,54.6,271.1,281.1,0.2014016967908521,4.9554375418127545,13.47716077050427,243.44444444444446,49.111111111111114,12.274195254676872
training_layouts_100,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,0,5,5,50,10,7,0.7,0.39677814746114537,0.8922087325936989,66.6,331.9,341.9,0.20066285025610123,4.977585034013606,16.630033349688166,251.28571428571428,50.57142857142857,12.889452212573294
training_layouts_100,7,put both the alphabet soup and the cream cheese box in the basket,0,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,54.2,268.9,278.9,0.20156191892896988,4.960982386636274,13.781039286009037,268.9,54.2,13.781039286009037
training_layouts_100,8,put both moka pots on the stove,0,5,5,50,10,4,0.4,0.16818032970623614,0.6873262302663417,97.0,484.5,494.5,0.2002063983488132,4.994227642276423,16.467843783367424,431.25,86.5,15.1222744192346
training_layouts_100,9,put the yellow and white mug in the microwave and close it,0,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,63.1,313.5,323.5,0.20127591706539075,4.965627556145918,11.917858456703835,290.55555555555554,58.55555555555556,10.617032260776291
training_layouts_100,0,put both the alphabet soup and the tomato sauce in the basket,1500,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,62.1,308.6,318.6,0.20123136746597536,4.967131240450426,16.38044737711316,285.1111111111111,57.44444444444444,15.502558541794619
training_layouts_100,1,put both the cream cheese box and the butter in the basket,1500,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,52.1,259.2,269.2,0.2010030864197531,4.974844880852044,14.305625286092981,259.2,52.1,14.305625286092981
training_layouts_100,2,turn on the stove and put the moka pot on it,1500,5,5,50,10,7,0.7,0.39677814746114537,0.8922087325936989,66.4,330.5,340.5,0.20090771558245082,4.969564187939326,16.581786086806098,249.28571428571428,50.285714285714285,12.729525118716992
training_layouts_100,3,put the black bowl in the bottom drawer of the cabinet and close it,1500,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,47.4,234.8,244.8,0.2018739352640545,4.953625374178572,12.596655245916917,234.8,47.4,12.596655245916917
training_layouts_100,4,put the white mug on the left plate and put the yellow and white mug on the right plate,1500,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,49.5,246.5,256.5,0.20081135902636918,4.9795675665270736,13.786077156220562,246.5,49.5,13.786077156220562
training_layouts_100,5,pick up the book and place it in the back compartment of the caddy,1500,5,5,50,10,8,0.8,0.49016247153664183,0.9433178485456247,57.4,285.4,295.4,0.20112123335669235,4.964963237606352,14.314261991297826,226.75,45.75,12.01955225499114
training_layouts_100,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,1500,5,5,50,10,8,0.8,0.49016247153664183,0.9433178485456247,60.6,301.9,311.9,0.2007287181185823,4.977298730904354,15.372650445287581,247.375,49.75,12.778775369733921
training_layouts_100,7,put both the alphabet soup and the cream cheese box in the basket,1500,5,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,51.9,257.2,267.2,0.20178849144634525,4.955423145732994,13.581518946192228,257.2,51.9,13.581518946192228
training_layouts_100,8,put both moka pots on the stove,1500,5,5,50,10,3,0.3,0.10779126740630099,0.6032218525388546,100.4,501.7,511.7,0.2001195933824995,4.996733639228773,16.850855836609846,459.0,92.0,15.470236637668373
training_layouts_100,9,put the yellow and white mug in the microwave and close it,1500,5,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,60.6,301.0,311.0,0.20132890365448505,4.964880272955215,10.764173703687266,276.6666666666667,55.77777777777778,10.103890912439157
